date,U,TH,AC,PE,GR,SP,CNL
2650.09,2.606,9.859,103.947,9.753,81.008,79.629,34.527
2650.215,3.035,10.126,104.155,9.508,81.241,79.679,33.811
2650.34,3.472,10.637,105.063,9.435,83.596,79.714,33.593
2650.465,3.796,11.189,105.317,9.437,86.882,79.734,33.742
2650.59,3.941,11.43,104.985,9.397,87.945,79.739,34.062
2650.715,4.015,11.263,104.925,9.356,86.654,79.731,34.314
2650.84,4.1,10.719,104.894,9.322,85.128,79.712,34.397
2650.965,4.215,10,104.58,9.248,84.773,79.686,34.3
2651.09,4.398,9.307,104.893,9.156,84.309,79.659,34.347
2651.215,4.644,8.774,106.414,9.139,83.025,79.634,35.09
2651.34,4.878,8.467,108.151,9.254,82.339,79.62,36.742
2651.465,5.018,8.373,109.333,9.376,82.68,79.619,38.612
2651.59,4.981,8.544,109.806,9.271,83.352,79.636,39.709
2651.715,4.723,8.968,109.385,8.968,83.05,79.674,39.684
2651.84,4.348,9.484,108.587,8.594,81.703,79.731,38.973
2651.965,4.063,9.873,108.013,8.152,80.023,79.811,37.873
2652.09,3.949,10.046,107.401,7.718,79.859,79.911,36.531
2652.215,3.983,10.024,107.033,7.413,82.145,80.03,35.324
2652.34,4.017,9.926,107.139,7.28,85.075,80.168,34.826
2652.465,4.018,9.866,106.949,7.185,85.996,80.322,34.915
2652.59,3.989,9.885,106.588,7.058,85.19,80.487,35.337
2652.715,3.937,9.968,106.471,6.943,85.312,80.659,36.171
2652.84,3.754,10.139,106.426,6.874,87.746,80.828,37.462
2652.965,3.492,10.381,107.195,6.84,90.317,80.983,38.647
2653.09,3.306,10.622,109.039,6.81,90.551,81.113,38.789
2653.215,3.247,10.881,110.575,6.768,90.028,81.211,37.964
2653.34,3.254,11.248,111.353,6.786,91.231,81.267,37.095
2653.465,3.279,11.792,111.896,6.909,94.125,81.278,37.171
2653.59,3.286,12.401,112.144,7.055,96.783,81.249,38.265
2653.715,3.308,12.805,112.694,7.352,97.515,81.178,39.744
2653.84,3.317,13.041,113.353,7.98,97.012,81.077,40.592
2653.965,3.24,13.22,113.52,8.876,95.38,80.953,40.364
2654.09,3.113,13.275,113.616,9.611,92.855,80.815,39.355
2654.215,3.007,13.178,113.166,9.786,90.419,80.676,38.485
2654.34,2.884,13.055,111.545,9.388,88.448,80.544,38.473
2654.465,2.725,13.041,110.295,8.915,86.785,80.428,39.562
2654.59,2.56,13.044,110.027,8.781,85.082,80.331,40.968
2654.715,2.444,12.833,109.863,9.023,83.642,80.259,41.3
2654.84,2.4,12.397,109.218,9.359,83.046,80.21,39.804
2654.965,2.374,11.904,108.06,9.336,82.96,80.181,37.338
2655.09,2.353,11.346,107.049,8.592,82.882,80.172,35.467
2655.215,2.36,10.596,106.789,7.737,82.807,80.177,34.789
2655.34,2.381,9.716,106.859,7.398,83.211,80.196,34.774
2655.465,2.35,9.036,107.139,7.46,84.519,80.226,34.733
2655.59,2.292,8.707,107.561,7.431,86.103,80.262,34.671
2655.715,2.251,8.697,107.589,7.289,87.578,80.301,34.924
2655.84,2.254,8.922,107.182,7.24,87.982,80.336,35.537
2655.965,2.263,9.396,106.976,7.342,87.044,80.364,36.082
2656.09,2.313,9.954,107.557,7.486,85.628,80.382,36.371
2656.215,2.416,10.405,108.735,7.529,85.558,80.387,36.873
2656.34,2.562,10.74,109.374,7.594,87.147,80.384,37.876
2656.465,2.711,11.02,109.431,7.866,89.241,80.375,38.867
2656.59,2.817,11.173,110.243,8.131,90.456,80.366,39.071
2656.715,2.845,11.177,111.208,8.296,90.104,80.363,38.708
2656.84,2.81,11.031,111.112,8.581,87.895,80.373,38.772
2656.965,2.786,10.755,110.907,9.047,85.368,80.4,39.59
2657.09,2.813,10.369,110.824,9.52,84.179,80.447,40.464
2657.215,2.891,9.897,110.062,9.824,85.017,80.513,40.172
2657.34,2.946,9.445,108.925,10.032,86.105,80.595,38.654
2657.465,2.987,9.092,108.133,10.199,86.003,80.684,36.759
2657.59,3.013,8.954,108.638,10.261,85.584,80.773,36.058
2657.715,2.998,9.101,110.182,10.206,86.097,80.849,37.145
2657.84,2.839,9.86,111.326,9.951,87.825,80.902,39.425
2657.965,2.605,11.213,111.423,9.464,90.318,80.92,41.154
2658.09,2.434,12.619,111.317,9.012,92.856,80.898,41.687
2658.215,2.456,13.407,111.44,8.866,94.35,80.829,41.599
2658.34,2.7,13.595,111.307,8.827,93.866,80.719,41.585
2658.465,3.137,13.404,110.674,8.667,92.153,80.576,41.213
2658.59,3.619,13.021,110.046,8.48,91.817,80.409,39.987
2658.715,4.089,12.393,109.34,8.447,92.576,80.233,38.934
2658.84,4.687,11.278,107.795,8.517,91.851,80.057,39.098
2658.965,5.318,9.726,105.866,8.419,87.749,79.892,40.344
2659.09,5.475,8.512,104.406,8.214,82.469,79.746,41.285
2659.215,5.016,8.18,103.565,8.464,78.779,79.624,41.133
2659.34,4.375,8.627,103.681,9.424,77.625,79.533,40.331
2659.465,3.758,9.552,105.319,10.439,77.718,79.474,39.675
2659.59,3.04,10.929,109.207,10.898,78.56,79.451,39.558
2659.715,2.353,12.327,114.231,10.892,79.721,79.458,39.717
2659.84,1.878,13.399,118.315,10.748,80.761,79.489,39.818
2659.965,1.722,13.947,119.971,10.641,80.892,79.536,39.79
2660.09,1.745,14.193,118.831,10.475,80.102,79.586,39.88
2660.215,1.916,14.055,114.777,10.273,79.423,79.632,40.4
2660.34,2.329,13.334,110.663,10.271,80.139,79.669,41.504
2660.465,3.047,12.263,109.15,10.32,82.724,79.695,42.675
2660.59,3.857,11.356,109.319,10.262,86.468,79.709,43.132
2660.715,4.331,10.917,109.854,10.125,89.307,79.712,41.967
2660.84,4.379,10.733,111.151,10.041,89.461,79.708,39.319
2660.965,4.073,10.685,112.527,10.025,86.277,79.697,36.083
2661.09,3.546,10.785,112.729,9.868,82.598,79.682,33.776
2661.215,3.025,10.89,112.292,9.374,81.021,79.669,33.025
2661.34,2.635,10.844,111.762,8.603,82.028,79.659,33.537
2661.465,2.354,10.67,110.832,7.968,83.508,79.657,34.182
2661.59,2.217,10.525,109.773,7.738,83.91,79.663,34.602
2661.715,2.291,10.414,109.308,7.796,83.321,79.681,35.176
2661.84,2.474,10.178,109.275,7.901,82.418,79.71,35.998
2661.965,2.687,9.751,109.187,8.116,81.739,79.75,36.536
2662.09,2.827,9.349,108.272,8.509,81.83,79.803,36.372
2662.215,2.896,9.066,106.911,8.924,82.505,79.868,36.001
2662.34,2.87,8.952,106.446,9.278,83.417,79.945,35.814
2662.465,2.744,9.106,106.909,9.621,84.33,80.033,35.686
2662.59,2.548,9.567,107.501,9.964,85.108,80.129,35.486
2662.715,2.368,10.147,108.604,10.241,85.488,80.229,35.457
2662.84,2.324,10.628,109.907,10.395,85.455,80.328,35.934
2662.965,2.439,11.015,110.658,10.436,85.75,80.421,36.918
2663.09,2.693,11.299,111.056,10.372,86.612,80.501,38.068
2663.215,3.069,11.246,111,10.197,87.418,80.567,38.687
2663.34,3.594,10.672,110.036,9.998,88.44,80.614,38.454
2663.465,4.185,9.78,108.296,9.982,90.365,80.64,37.853
2663.59,4.685,9.07,106.431,9.96,91.81,80.644,37.861
2663.715,5.019,8.69,105.076,9.917,91.489,80.624,38.682
2663.84,5.236,8.494,104.503,10.06,90.035,80.577,39.317
2663.965,5.308,8.501,104.845,10.369,89.335,80.508,38.923
2664.09,5.131,8.952,106.723,10.622,89.201,80.417,37.789
2664.215,4.722,9.865,108.566,10.743,88.218,80.31,37.018
2664.34,4.235,10.972,108.47,10.856,87.336,80.193,36.704
2664.465,3.763,12.031,107.558,11.032,87.954,80.068,36.131
2664.59,3.281,13.11,107.167,11.104,88.272,79.942,35.165
2664.715,2.78,14.257,106.343,11.052,86.448,79.819,34.517
2664.84,2.475,15.058,105.836,11.329,82.727,79.705,34.719
2664.965,2.421,15.246,107.008,11.9,80.133,79.606,34.975
2665.09,2.588,14.91,108.473,12.205,79.852,79.525,34.52
2665.215,2.867,14.226,108.404,12.222,81.202,79.47,33.62
2665.34,3.156,13.446,107.239,12.242,82.502,79.439,33.547
2665.465,3.331,12.769,105.401,12.312,82.139,79.432,34.958
2665.59,3.391,12.268,103.476,12.405,79.751,79.447,36.648
2665.715,3.359,11.9,102.707,12.486,77.639,79.479,36.908
2665.84,3.265,11.678,103.724,12.522,77.905,79.526,35.53
2665.965,3.072,11.6,105.168,12.507,80.11,79.584,34.483
2666.09,2.884,11.645,106.3,12.478,82.381,79.652,34.948
2666.215,2.895,11.743,107.382,12.446,83.784,79.73,36.478
2666.34,3.061,11.79,107.922,12.403,84.934,79.815,37.429
2666.465,3.227,11.796,107.613,12.363,85.527,79.906,37.397
2666.59,3.317,11.84,107.689,12.327,84.938,79.999,37.431
2666.715,3.378,11.925,109.219,12.268,84.148,80.089,38.486
2666.84,3.373,12.052,111.466,12.175,84.077,80.171,40.27
2666.965,3.236,12.174,112.854,12.046,85.249,80.241,41.681
2667.09,2.984,12.274,113.678,11.895,86.636,80.298,42.326
2667.215,2.719,12.349,114.375,11.752,87.411,80.338,42.157
2667.34,2.501,12.452,114.061,11.647,88.256,80.363,41.03
2667.465,2.353,12.529,112.931,11.558,89.624,80.376,39.231
2667.59,2.239,12.599,112.231,11.448,90.362,80.381,37.628
2667.715,2.113,12.838,112.013,11.311,89.144,80.383,36.905
2667.84,1.986,13.269,110.852,11.184,87.057,80.388,36.853
2667.965,1.923,13.696,108.131,11.108,86.4,80.403,36.953
2668.09,1.926,13.91,106.059,11.078,87.093,80.43,36.949
2668.215,1.961,13.991,105.416,11.087,87.303,80.469,36.8
2668.34,1.976,14.022,104.445,11.115,86.027,80.521,36.364
2668.465,1.98,13.982,103.424,11.117,84.797,80.58,35.722
2668.59,2.03,13.714,103.991,11.07,84.734,80.64,35.398
2668.715,2.217,13.177,105.626,11.024,86.032,80.696,36.254
2668.84,2.54,12.562,107.09,11.047,87.865,80.74,38.079
2668.965,2.98,12.005,108.291,11.219,89.343,80.767,39.624
2669.09,3.45,11.492,109.094,11.549,90.397,80.772,39.78
2669.215,3.841,11.073,109.278,11.843,91.131,80.752,39.3
2669.34,4.05,10.854,108.692,11.992,91.655,80.705,39.871
2669.465,4.077,10.845,107.689,12.147,91.817,80.635,41.885
2669.59,3.895,11.096,107.273,12.355,91.149,80.545,44.428
2669.715,3.502,11.67,108.683,12.51,89.787,80.443,46.234
2669.84,3.071,12.337,110.854,12.587,88.828,80.339,46.997
2669.965,2.765,12.845,112.283,12.621,88.373,80.241,47.006
2670.09,2.731,12.989,113.139,12.611,87.526,80.16,46.642
2670.215,2.988,12.668,114.662,12.599,85.713,80.098,45.973
2670.34,3.444,11.832,116.281,12.611,83.413,80.062,45.077
2670.465,3.827,10.831,116.675,12.621,81.727,80.052,44.346
2670.59,4.056,10.025,116.215,12.617,80.874,80.067,43.989
2670.715,4.199,9.558,115.294,12.586,80.907,80.105,43.895
2670.84,4.265,9.482,114.311,12.513,82.101,80.164,43.78
2670.965,4.176,9.811,114.229,12.402,83.818,80.239,43.608
2671.09,3.959,10.423,115.822,12.274,85.244,80.325,43.455
2671.215,3.707,11.035,117.876,12.147,86.287,80.416,43.294
2671.34,3.494,11.548,118.855,12.006,87.197,80.507,43.041
2671.465,3.293,11.967,117.757,11.815,87.949,80.593,42.83
2671.59,3.099,12.284,115.026,11.588,88.019,80.672,43.048
2671.715,2.919,12.525,111.205,11.352,87.848,80.743,43.652
2671.84,2.831,12.831,107.422,11.147,89.231,80.805,43.641
2671.965,2.809,13.212,104.974,11.005,91.805,80.86,42.537
2672.09,2.823,13.514,104.785,10.951,93.245,80.908,40.942
2672.215,2.901,13.552,106.092,10.949,91.888,80.948,39.973
2672.34,3.014,13.387,107.951,10.927,89.201,80.982,39.806
2672.465,3.053,13.112,110.733,10.835,88.066,81.009,40.132
2672.59,3.019,12.684,114.257,10.727,89.342,81.027,40.628
2672.715,3.102,12.027,117.024,10.693,91.349,81.033,41.208
2672.84,3.499,11.238,117.769,10.758,92.12,81.019,41.779
2672.965,4.097,10.536,117.293,10.758,91.29,80.985,42.308
2673.09,4.661,10.035,116.219,10.632,89.813,80.924,42.716
2673.215,5.035,9.774,114.434,10.741,89.318,80.833,43.03
2673.34,5.337,9.648,112.243,11.329,90.297,80.717,43.564
2673.465,5.64,9.567,111.543,12.015,92.045,80.576,44.323
2673.59,5.794,9.514,113.504,12.384,92.354,80.42,44.7
2673.715,5.67,9.45,115.979,12.574,90.706,80.26,44.53
2673.84,5.378,9.194,117.319,12.691,88.049,80.107,44.45
2673.965,5.151,8.695,118.127,12.757,85.731,79.973,45.132
2674.09,5.007,8.142,118.132,12.825,84.313,79.866,46.017
2674.215,4.792,7.731,116.598,12.891,83.259,79.798,45.774
2674.34,4.4,7.657,115.759,12.731,81.214,79.77,44.25
2674.465,3.907,7.99,116.604,12.152,78.416,79.78,42.216
2674.59,3.474,8.694,117.131,11.576,76.973,79.831,40.581
2674.715,3.075,9.782,116.704,11.383,78.226,79.909,39.638
2674.84,2.659,11.319,116.276,11.411,81.13,80.006,39.477
2674.965,2.352,12.88,115.02,11.385,82.927,80.113,40.125
2675.09,2.206,14.148,112.978,11.288,83.684,80.217,41.468
2675.215,2.163,15.177,111.723,11.192,84.762,80.312,43.386
2675.34,2.209,15.886,111.298,11.101,86.844,80.391,45.293
2675.465,2.397,15.964,111.276,10.987,89.546,80.452,46.467
2675.59,2.672,15.383,112.034,10.885,91.582,80.492,46.574
2675.715,2.888,14.561,112.985,10.815,91.996,80.515,46.416
2675.84,2.998,13.668,113.783,10.743,91.052,80.525,46.528
2675.965,3.004,12.863,114.721,10.679,89.664,80.524,46.365
2676.09,2.933,12.387,115.597,10.649,88.533,80.52,45.128
2676.215,2.807,12.338,115.846,10.597,87.732,80.517,42.978
2676.34,2.601,12.73,115.719,10.458,87.443,80.521,41.004
2676.465,2.348,13.383,115.745,10.318,87.611,80.533,39.872
2676.59,2.166,13.972,115.254,10.236,87.499,80.553,39.507
2676.715,2.099,14.274,113.393,10.176,86.592,80.579,39.476
2676.84,2.071,14.435,111.176,10.111,85.401,80.608,39.802
2676.965,2.03,14.677,109.929,10.052,85.046,80.638,40.832
2677.09,1.983,15.097,110.118,10.026,86.461,80.669,42.237
2677.215,1.938,15.667,111.21,10.034,88.885,80.701,43.203
2677.34,1.914,16.214,112.439,10.052,90.263,80.737,43.198
2677.465,1.927,16.516,113.563,10.057,89.867,80.778,42.703
2677.59,2.039,16.473,114.145,10.049,89.388,80.824,42.145
2677.715,2.331,16.006,113.619,10.04,90.195,80.872,41.499
2677.84,2.812,15.112,113.254,10.052,90.307,80.919,40.586
2677.965,3.419,13.932,113.983,10.123,88.5,80.96,39.481
2678.09,4.021,12.796,114.852,10.26,86.761,80.99,38.58
2678.215,4.638,11.84,114.82,10.396,87.306,81.006,38.331
2678.34,5.337,11.051,114.03,10.476,90.393,81.008,38.965
2678.465,5.96,10.462,113.197,10.513,93.315,80.994,39.886
2678.59,6.379,9.997,112.495,10.565,94.339,80.966,40.437
2678.715,6.641,9.474,112.093,10.65,92.922,80.923,40.638
2678.84,6.682,8.98,112.159,10.715,90.764,80.869,41.077
2678.965,6.409,8.76,112.279,10.722,89.551,80.806,41.744
2679.09,5.829,9.162,111.682,10.684,89.277,80.737,41.825
2679.215,5.117,10.1,110.571,10.67,88.954,80.666,41.068
2679.34,4.297,11.367,109.489,10.713,88.505,80.595,40.129
2679.465,3.403,12.67,109.015,10.763,88.423,80.526,39.931
2679.59,2.575,13.788,109.1,10.766,88.166,80.462,40.454
2679.715,2.006,14.514,109.467,10.728,86.577,80.406,41.189
2679.84,1.778,14.731,110.313,10.702,84.881,80.363,41.32
2679.965,1.771,14.506,111.574,10.601,84.684,80.336,40.628
2680.09,1.892,13.9,112.08,10.051,85.938,80.325,39.434
2680.215,2.058,13.184,111.111,9.121,87.032,80.329,38.438
2680.34,2.182,12.679,109.366,8.387,86.645,80.342,37.99
2680.465,2.195,12.662,107.704,8.221,84.901,80.359,38.359
2680.59,2.121,13.059,106.787,8.324,83.463,80.373,39.673
2680.715,1.957,13.857,107.005,8.43,83.617,80.378,41.754
2680.84,1.664,15.238,108.819,8.567,85.984,80.37,43.635
2680.965,1.38,16.663,111.655,8.816,88.581,80.351,44.462
2681.09,1.262,17.491,114.34,9.071,89.933,80.323,44.336
2681.215,1.362,17.489,116.066,9.278,89.754,80.29,43.96
2681.34,1.578,16.936,117.194,9.493,89.16,80.258,43.481
2681.465,1.899,15.75,117.414,9.699,88.423,80.231,42.564
2681.59,2.331,13.862,116.566,9.844,86.991,80.211,41.372
2681.715,2.827,11.736,115.36,9.958,84.9,80.2,40.579
2681.84,3.332,10.087,113.946,10.052,83.17,80.199,40.514
2681.965,3.849,9.15,112.319,10.121,82.916,80.207,40.255
2682.09,4.387,8.708,110.906,10.171,83.868,80.224,38.941
2682.215,4.989,8.567,109.993,10.226,85.064,80.25,36.958
2682.34,5.479,8.715,109.202,10.289,86.151,80.285,35.859
2682.465,5.71,9.147,108.338,10.361,86.803,80.328,36.18
2682.59,5.588,9.718,107.532,10.458,86.574,80.377,37.167
2682.715,5.243,10.227,106.908,10.565,86.227,80.43,37.714
2682.84,4.695,10.656,106.906,10.657,86.698,80.481,37.808
2682.965,4.067,11.035,108.354,10.741,87.465,80.524,38.301
2683.09,3.444,11.419,110.407,10.86,87.507,80.554,39.364
2683.215,2.942,11.689,111.731,11.044,87.081,80.569,40.362
2683.34,2.6,11.754,112.614,11.218,87.578,80.571,40.599
2683.465,2.424,11.684,113.131,11.327,89.298,80.562,40.305
2683.59,2.342,11.709,112.201,11.419,90.917,80.547,40.01
2683.715,2.288,11.861,110.677,11.543,91.274,80.529,39.642
2683.84,2.28,12,109.461,11.643,90.647,80.51,38.875
2683.965,2.332,12.066,108.064,11.686,88.934,80.491,37.991
2684.09,2.362,12.26,107.301,11.855,86.45,80.472,37.757
2684.215,2.33,12.664,108.081,12.257,84.063,80.454,38.311
2684.34,2.229,13.174,109.396,12.481,83.602,80.444,38.983
2684.465,2.088,13.642,111.561,12.571,85.611,80.445,39.166
2684.59,2.009,13.905,115.937,12.597,88.468,80.461,38.903
2684.715,2.101,13.897,120.047,12.3,89.616,80.495,38.959
2684.84,2.437,13.567,121.718,11.438,88.747,80.545,39.845
2684.965,3.007,12.901,121.984,10.121,86.606,80.606,41.312
2685.09,3.615,12.145,120.969,9.081,84.797,80.671,42.478
2685.215,4.065,11.626,117.929,8.757,84.188,80.734,43.268
2685.34,4.322,11.45,115.196,8.984,85.428,80.791,44.52
2685.465,4.375,11.559,114.88,9.171,87.903,80.841,46.611
2685.59,4.21,11.82,115.982,9.128,90.526,80.883,48.68
2685.715,3.929,11.972,117.371,8.998,92.743,80.918,49.109
2685.84,3.798,11.809,118.348,8.894,94.354,80.948,47.644
2685.965,3.991,11.201,117.978,8.782,93.77,80.973,44.786
2686.09,4.59,10.168,116.112,8.492,90.701,80.991,41.682
2686.215,5.284,9.232,114.038,8.083,87.742,81.004,39.228
2686.34,5.686,8.983,113.122,7.836,87.602,81.011,37.715
2686.465,5.68,9.655,113.309,7.764,89.42,81.013,36.729
2686.59,5.366,11.129,113.229,7.731,90.739,81.014,35.881
2686.715,4.8,12.98,112.644,7.69,91.3,81.014,35.373
2686.84,4.103,14.681,112.196,7.665,91.862,81.014,35.674
2686.965,3.357,16.099,111.167,7.69,91.561,81.016,36.708
2687.09,2.714,17.058,109.443,7.746,89.837,81.023,37.825
2687.215,2.461,17.266,108.941,7.77,88.255,81.037,38.474
2687.34,2.742,16.6,109.677,7.726,88.355,81.062,38.689
2687.465,3.376,15.315,109.875,7.663,89.625,81.1,38.722
2687.59,3.96,14.133,109.887,7.802,90.652,81.149,38.762
2687.715,4.275,13.43,110.573,8.401,91.112,81.203,39.05
2687.84,4.308,13.219,111.37,9.28,90.89,81.254,39.669
2687.965,4.134,13.356,112.211,9.974,90.022,81.292,40.153
2688.09,3.765,13.777,113.416,10.092,88.748,81.304,39.891
2688.215,3.25,14.192,113.82,9.689,88.951,81.286,38.937
2688.34,2.723,14.344,112.851,9.095,91.673,81.238,37.912
2688.465,2.394,14.196,111.239,8.787,95.542,81.16,37.727
2688.59,2.282,14.009,109.865,8.808,97.344,81.064,39.07
2688.715,2.28,13.844,109.275,8.841,96.284,80.958,42.055
2688.84,2.316,13.573,109.84,8.822,94.189,80.851,45.512
2688.965,2.34,13.202,111.223,8.87,92.147,80.749,47.196
2689.09,2.321,12.695,113.792,8.936,89.049,80.654,45.906
2689.215,2.271,12.215,116.6,8.917,84.867,80.568,42.587
2689.34,2.216,12.01,118.161,8.851,82.195,80.488,39.344
2689.465,2.141,12.217,119.305,8.806,82.773,80.411,37.38
2689.59,2.041,12.582,120.774,8.799,84.927,80.335,36.715
2689.715,1.938,12.878,121.091,8.811,86.559,80.26,36.72
2689.84,1.857,12.99,120.222,8.809,86.928,80.189,36.997
2689.965,1.773,13.156,119.187,8.768,86.648,80.122,37.476
2690.09,1.704,13.329,117.298,8.714,86.613,80.064,38.217
2690.215,1.669,13.325,114.503,8.672,86.759,80.015,39.409
2690.34,1.672,13.082,112.475,8.645,86.222,79.977,40.869
2690.465,1.687,12.832,111.457,8.595,84.167,79.95,41.769
2690.59,1.699,12.706,111.258,8.504,81.657,79.933,41.18
2690.715,1.73,12.588,111.862,8.425,80.936,79.926,40.086
2690.84,1.804,12.321,112.505,8.402,82.597,79.928,39.918
2690.965,1.885,12.026,112.823,8.371,84.779,79.937,40.631
2691.09,1.951,11.83,113.729,8.128,85.703,79.951,40.701
2691.215,2.031,11.73,114.741,7.628,84.97,79.967,39.436
2691.34,2.18,11.564,114.78,7.163,83.902,79.983,37.558
2691.465,2.352,11.376,114.265,6.864,83.598,79.996,35.412
2691.59,2.484,11.251,113.019,6.686,84.652,80.005,33.134
2691.715,2.585,11.223,110.673,6.568,85.965,80.007,31.654
2691.84,2.727,11.216,108.007,6.543,86.459,80.004,31.725
2691.965,2.956,11.216,105.824,6.603,85.983,79.997,33.136
2692.09,3.213,11.254,103.71,6.698,85.366,79.988,34.444
2692.215,3.399,11.344,101.842,6.99,85.035,79.98,35.009
2692.34,3.563,11.299,101.649,7.539,85.521,79.974,35.244
2692.465,3.748,10.989,102.645,7.995,86.096,79.968,35.676
2692.59,3.853,10.313,103.885,8.22,85.719,79.96,36.042
2692.715,3.758,9.447,106.171,8.276,84.09,79.95,35.781
2692.84,3.526,8.697,108.492,8.217,82.288,79.937,35.277
2692.965,3.219,8.218,108.412,7.98,82.298,79.921,35.535
2693.09,2.879,7.878,107.244,7.637,84.238,79.907,36.817
2693.215,2.545,7.673,105.97,7.398,86.475,79.898,38.165
2693.34,2.316,7.704,103.314,7.392,87.533,79.902,38.166
2693.465,2.269,8.003,101.178,7.422,86.344,79.922,37.032
2693.59,2.427,8.472,101.813,7.386,83.523,79.963,36.004
2693.715,2.725,8.939,104.515,7.324,81.737,80.027,36.379
2693.84,3.026,9.368,107.516,7.275,82.361,80.11,37.573
2693.965,3.233,9.908,110.196,7.232,84.211,80.205,38.277
2694.09,3.304,10.581,111.527,7.19,84.543,80.305,37.819
2694.215,3.308,11.311,111.069,7.148,83.458,80.401,37.033
2694.34,3.177,12.225,108.943,7.09,83.486,80.488,36.56
2694.465,2.758,13.79,106.88,7.032,85.864,80.562,36.134
2694.59,2.209,15.794,106.3,7.018,89.672,80.621,35.557
2694.715,1.935,17.317,107.085,7.011,93.037,80.666,35.375
2694.84,2.054,17.9,108.259,6.874,94.028,80.696,36.199
2694.965,2.523,17.795,110.045,6.579,92.345,80.715,37.874
2695.09,3.15,17.244,112.374,6.33,89.37,80.725,39.494
2695.215,3.581,16.567,114.32,6.178,87.49,80.731,40.262
2695.34,3.677,15.981,114.935,6.098,87.701,80.736,40.264
2695.465,3.634,15.531,113.504,6.068,89.168,80.747,40.384
2695.59,3.512,15.22,111.254,6.144,90.026,80.765,40.937
2695.715,3.275,15.005,109.124,6.458,89.351,80.794,41.233
2695.84,2.966,14.836,106.798,6.921,87.928,80.834,40.509
2695.965,2.732,14.706,104.984,7.333,87.111,80.884,39.22
2696.09,2.63,14.7,104.693,7.63,87.112,80.94,38.193
2696.215,2.641,14.742,105.151,7.941,87.925,80.994,37.822
2696.34,2.752,14.726,105.772,8.401,89.268,81.04,38.023
2696.465,2.974,14.55,106.5,8.886,90.241,81.069,38.679
2696.59,3.226,14.286,107.149,8.897,90.326,81.077,39.418
2696.715,3.457,13.877,107.916,8.202,90.581,81.064,39.713
2696.84,3.718,13.167,108.65,7.147,92.211,81.029,38.902
2696.965,3.989,12.263,109.047,6.279,93.99,80.983,37.35
2697.09,4.145,11.383,110.13,5.746,94.26,80.931,36.003
2697.215,4.049,10.665,113.029,5.444,93.204,80.884,35.889
2697.34,3.737,10.173,115.802,5.268,91.616,80.848,36.772
2697.465,3.281,10.137,116.457,5.237,89.562,80.829,37.864
2697.59,2.857,10.553,115.94,5.628,86.995,80.831,38.72
2697.715,2.549,11.095,114.978,6.511,84.773,80.851,39.632
2697.84,2.376,11.518,113.011,7.498,84.457,80.891,40.621
2697.965,2.333,11.879,111.297,8.032,85.962,80.944,41.267
2698.09,2.41,12.18,110.974,8.132,87.932,81.006,41.62
2698.215,2.606,12.331,111.259,8.133,89.177,81.072,42.154
2698.34,2.826,12.456,111.019,8.132,89.856,81.138,42.65
2698.465,2.966,12.772,110.591,8.012,90.623,81.2,42.28
2698.59,2.946,13.445,110.807,7.633,91.435,81.259,40.66
2698.715,2.824,14.336,111.435,7.133,92.24,81.314,38.789
2698.84,2.651,15.162,112.037,6.789,93.346,81.367,37.491
2698.965,2.508,15.665,112.696,6.835,94.205,81.419,36.896
2699.09,2.456,15.769,113.135,7.008,93.988,81.468,36.8
2699.215,2.629,15.396,112.699,7.047,92.698,81.515,37.186
2699.34,3.097,14.583,111.842,7.025,91.453,81.559,37.732
2699.465,3.807,13.518,111.104,6.99,91.254,81.601,38.066
2699.59,4.696,12.322,110.331,6.928,92.331,81.642,38.414
2699.715,5.595,11.284,109.759,6.871,93.608,81.684,39.499
2699.84,6.294,10.693,109.573,6.873,94.383,81.729,41.139
2699.965,6.604,10.638,109.625,6.878,94.572,81.777,41.873
2700.09,6.529,10.929,109.899,6.757,94.683,81.827,41.11
2700.215,6.096,11.573,110.181,6.597,94.644,81.874,39.567
2700.34,5.426,12.634,110.129,6.517,93.749,81.915,38.375
2700.465,4.722,13.887,110.08,6.436,92.818,81.945,37.55
2700.59,4.046,15.088,110.106,6.356,92.933,81.962,36.585
2700.715,3.47,15.94,110.018,6.198,94.336,81.965,35.417
2700.84,3.147,16.245,109.793,5.972,96.686,81.954,34.687
2700.965,3.239,15.842,109.482,5.925,98.851,81.929,35.115
2701.09,3.65,14.778,109.486,5.96,98.77,81.893,36.434
2701.215,4.337,12.991,109.712,5.835,96.181,81.847,37.725
2701.34,5.131,11.028,109.599,6.031,93.419,81.793,38.128
2701.465,5.812,9.568,109.536,6.529,93.186,81.735,38.083
2701.59,6.329,8.655,109.682,6.95,94.584,81.675,38.204
2701.715,6.675,8.109,109.327,7.052,94.509,81.614,38.435
2701.84,6.808,7.852,108.424,6.965,92.978,81.556,38.059
2701.965,6.689,7.853,107.546,6.746,91.566,81.501,36.634
2702.09,6.339,8.088,107.317,6.411,91.435,81.451,34.716
2702.215,5.829,8.481,107.257,6.015,91.873,81.406,33.458
2702.34,5.265,8.829,106.98,5.638,92.045,81.367,33.849
2702.465,4.754,9.013,107.541,5.343,91.453,81.336,35.748
2702.59,4.315,9.072,109.064,5.137,90.379,81.313,38.031
2702.715,3.926,9.141,110.249,5.07,89.901,81.299,39.386
2702.84,3.631,9.18,110.816,5.118,90.868,81.293,39.817
